epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,47.1447,0.31414,9.58208,0.48659,0.30168,0.92998,0.99454,1,0.995,0.90755,0,0,0,0,0.4639,10.6404,0.78937,0.39805,0.71442,0.0008714,0.0008714,0.0008714
59,47.9346,0.39323,9.74593,0.46068,0.30128,0.98277,0.99454,1,0.995,0.90755,0,0,0,0,0.4639,10.6404,0.78937,0.39805,0.71442,0.0008516,0.0008516,0.0008516
60,48.746,0.37843,9.49019,0.4902,0.31117,0.97539,0.99206,1,0.995,0.9139,0,0,0,0,0.47929,10.5479,0.75614,0.4193,0.72979,0.0008318,0.0008318,0.0008318
61,49.5351,0.3575,8.90932,0.48239,0.31475,0.91977,0.99206,1,0.995,0.9139,0,0,0,0,0.47929,10.5479,0.75614,0.4193,0.72979,0.000812,0.000812,0.000812
62,50.344,0.33988,9.0932,0.45841,0.30874,0.9395,0.99323,1,0.995,0.91547,0,0,0,0,0.51555,10.5729,0.72945,0.38491,0.76974,0.0007922,0.0007922,0.0007922
63,51.134,0.34212,9.61215,0.49283,0.27875,0.94549,0.99323,1,0.995,0.91547,0,0,0,0,0.51555,10.5729,0.72945,0.38491,0.76974,0.0007724,0.0007724,0.0007724
64,51.9475,0.39505,9.41538,0.45134,0.32668,0.94166,0.99481,1,0.995,0.91883,0,0,0,0,0.53539,10.5025,0.71753,0.38121,0.78864,0.0007526,0.0007526,0.0007526
65,52.7259,0.38295,9.13331,0.45363,0.33153,0.99084,0.99481,1,0.995,0.91883,0,0,0,0,0.53539,10.5025,0.71753,0.38121,0.78864,0.0007328,0.0007328,0.0007328
66,53.5381,0.31376,9.42169,0.45981,0.27553,0.95016,0.99479,1,0.995,0.93213,0,0,0,0,0.51893,10.5195,0.73067,0.35273,0.78027,0.000713,0.000713,0.000713
67,54.3292,0.32471,9.90761,0.49397,0.29519,0.9044,0.99479,1,0.995,0.93213,0,0,0,0,0.51893,10.5195,0.73067,0.35273,0.78027,0.0006932,0.0006932,0.0006932
68,55.1437,0.35686,9.47095,0.48378,0.27005,0.93982,0.99482,1,0.995,0.92285,0,0,0,0,0.46066,10.4978,0.72838,0.33253,0.76448,0.0006734,0.0006734,0.0006734
69,55.9224,0.35511,9.46201,0.48121,0.29981,0.9143,0.99482,1,0.995,0.92285,0,0,0,0,0.46066,10.4978,0.72838,0.33253,0.76448,0.0006536,0.0006536,0.0006536
70,56.7221,0.34319,9.83722,0.44421,0.30768,0.9722,0.99494,1,0.995,0.94106,0,0,0,0,0.44553,10.5014,0.72282,0.29624,0.75534,0.0006338,0.0006338,0.0006338
71,57.5041,0.3404,9.6423,0.46534,0.27552,0.92605,0.99494,1,0.995,0.94106,0,0,0,0,0.44553,10.5014,0.72282,0.29624,0.75534,0.000614,0.000614,0.000614
72,58.3113,0.31246,9.67869,0.45763,0.28844,0.97042,0.99494,1,0.995,0.93942,0,0,0,0,0.48251,10.329,0.72245,0.28143,0.76138,0.0005942,0.0005942,0.0005942
