epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,1261.62,1.04379,0.54964,0.83587,0.92294,0.80615,0.90676,0.54558,1.33689,0.77961,0.91908,0.0004556,0.0004556,0.0004556
80,1277.59,1.06376,0.55772,0.84505,0.9418,0.79385,0.90272,0.54658,1.32288,0.77693,0.92484,0.0004358,0.0004358,0.0004358
81,1293.75,1.0308,0.51922,0.8432,0.93881,0.82154,0.91867,0.5579,1.32978,0.75815,0.92008,0.000416,0.000416,0.000416
82,1310.07,1.03431,0.51828,0.8368,0.93738,0.79692,0.90744,0.55754,1.33703,0.80613,0.92314,0.0003962,0.0003962,0.0003962
83,1326.25,1.05328,0.5213,0.83188,0.95369,0.79077,0.90745,0.5495,1.34912,0.7761,0.91528,0.0003764,0.0003764,0.0003764
84,1342.17,1.01142,0.52734,0.83345,0.95613,0.8048,0.90764,0.54465,1.33913,0.78844,0.9085,0.0003566,0.0003566,0.0003566
85,1358.23,0.99527,0.52307,0.83689,0.95205,0.79427,0.89958,0.53508,1.39317,0.76341,0.91887,0.0003368,0.0003368,0.0003368
86,1374.35,1.01431,0.50091,0.82572,0.96909,0.77181,0.903,0.53316,1.39273,0.78556,0.92566,0.000317,0.000317,0.000317
87,1390.54,1.0137,0.5045,0.83273,0.95198,0.79304,0.90511,0.55304,1.32072,0.79873,0.91623,0.0002972,0.0002972,0.0002972
88,1406.67,0.98505,0.50327,0.83734,0.92463,0.83692,0.91392,0.53526,1.40184,0.76614,0.92905,0.0002774,0.0002774,0.0002774
89,1422.82,1.02047,0.50389,0.82131,0.9218,0.83422,0.91794,0.55783,1.33136,0.77505,0.92023,0.0002576,0.0002576,0.0002576
90,1438.99,0.98679,0.48225,0.82572,0.96834,0.80308,0.91656,0.5538,1.34076,0.73424,0.92226,0.0002378,0.0002378,0.0002378
91,1455.56,1.00492,0.52197,0.82058,0.88233,0.82462,0.88684,0.51568,1.4053,0.77598,0.93732,0.000218,0.000218,0.000218
92,1471.77,0.97675,0.46281,0.83463,0.93388,0.78462,0.89165,0.53365,1.37262,0.78217,0.9274,0.0001982,0.0001982,0.0001982
93,1488.05,0.98282,0.45426,0.83261,0.94386,0.79077,0.89408,0.55036,1.30766,0.82929,0.91652,0.0001784,0.0001784,0.0001784
94,1504.12,0.98861,0.46724,0.82607,0.91116,0.82053,0.9012,0.53739,1.38688,0.77689,0.93021,0.0001586,0.0001586,0.0001586
95,1520.2,0.97951,0.4503,0.82855,0.94107,0.78769,0.89527,0.52964,1.38573,0.7613,0.92776,0.0001388,0.0001388,0.0001388
96,1536.52,0.94726,0.44688,0.82062,0.92491,0.82154,0.90309,0.56062,1.33777,0.77778,0.91959,0.000119,0.000119,0.000119
97,1552.8,0.97266,0.44809,0.81948,0.8907,0.85255,0.90603,0.5574,1.34851,0.74301,0.92214,9.92e-05,9.92e-05,9.92e-05
98,1568.99,0.95438,0.44094,0.83126,0.92143,0.82769,0.91025,0.55372,1.36058,0.73756,0.92589,7.94e-05,7.94e-05,7.94e-05
99,1585.2,0.90974,0.43062,0.82983,0.92668,0.81661,0.90768,0.55209,1.36095,0.76165,0.9251,5.96e-05,5.96e-05,5.96e-05
100,1601.3,0.91902,0.43923,0.8228,0.93555,0.80393,0.90765,0.55522,1.35634,0.75922,0.92519,3.98e-05,3.98e-05,3.98e-05
