epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,48.2221,0.51359,9.22109,0.42404,0.38822,0.95939,0.88589,1,0.995,0.82177,0,0,0,0,0.85011,10.042,0.47588,0.78163,1.24022,0.0006932,0.0006932,0.0006932
68,48.9395,0.51431,8.78607,0.40037,0.37679,0.98684,0.97372,1,0.995,0.69762,0,0,0,0,0.89682,9.52175,0.46712,0.78608,1.28725,0.0006734,0.0006734,0.0006734
69,49.6374,0.49825,9.32831,0.40397,0.42229,1.05043,0.97372,1,0.995,0.69762,0,0,0,0,0.89682,9.52175,0.46712,0.78608,1.28725,0.0006536,0.0006536,0.0006536
70,50.3548,0.5012,8.73915,0.40868,0.37561,1.04672,0.59056,1,0.82833,0.29121,0,0,0,0,1.2558,10.411,0.49013,1.88495,1.75309,0.0006338,0.0006338,0.0006338
71,51.0451,0.47173,7.94871,0.42342,0.41559,1.03511,0.59056,1,0.82833,0.29121,0,0,0,0,1.2558,10.411,0.49013,1.88495,1.75309,0.000614,0.000614,0.000614
72,51.7624,0.48995,8.56406,0.42059,0.38529,1.02723,0.98842,1,0.995,0.28998,0,0,0,0,2.72604,10.7932,0.5275,4.08369,2.85211,0.0005942,0.0005942,0.0005942
73,52.4526,0.56584,8.82482,0.36854,0.43248,1.14032,0.98842,1,0.995,0.28998,0,0,0,0,2.72604,10.7932,0.5275,4.08369,2.85211,0.0005744,0.0005744,0.0005744
74,53.1773,0.53117,8.31255,0.41619,0.38755,0.99827,0.76241,1,0.995,0.30317,0,0,0,0,2.6234,10.2163,0.51344,2.31909,3.00009,0.0005546,0.0005546,0.0005546
75,53.8826,0.58787,8.45869,0.37956,0.4369,1.09482,0.76241,1,0.995,0.30317,0,0,0,0,2.6234,10.2163,0.51344,2.31909,3.00009,0.0005348,0.0005348,0.0005348
76,54.6181,0.52719,8.81684,0.41572,0.41676,1.07551,0.96293,1,0.995,0.42145,0,0,0,0,1.01071,10.4553,0.49818,2.92389,1.44179,0.000515,0.000515,0.000515
77,55.3069,0.5369,8.4147,0.40703,0.43134,1.02034,0.96293,1,0.995,0.42145,0,0,0,0,1.01071,10.4553,0.49818,2.92389,1.44179,0.0004952,0.0004952,0.0004952
78,56.0191,0.52994,8.56705,0.41159,0.42775,1.04959,0.63036,1,0.82833,0.54857,0,0,0,0,1.21611,10.8812,0.52065,1.00752,1.84747,0.0004754,0.0004754,0.0004754
79,56.7333,0.51608,8.4243,0.40475,0.40341,1.00289,0.63036,1,0.82833,0.54857,0,0,0,0,1.21611,10.8812,0.52065,1.00752,1.84747,0.0004556,0.0004556,0.0004556
80,57.4645,0.49271,8.54636,0.41014,0.42822,1.0695,0.65443,1,0.82833,0.58919,0,0,0,0,0.91341,9.98371,0.48864,0.86017,1.2562,0.0004358,0.0004358,0.0004358
81,58.18,0.59478,8.77701,0.40602,0.53789,1.10819,0.65443,1,0.82833,0.58919,0,0,0,0,0.91341,9.98371,0.48864,0.86017,1.2562,0.000416,0.000416,0.000416
82,58.9059,0.44605,8.26389,0.41468,0.36591,0.99367,0.62991,1,0.82833,0.58921,0,0,0,0,0.73494,9.70113,0.47519,1.14005,1.08136,0.0003962,0.0003962,0.0003962
83,59.6079,0.46825,8.11475,0.3866,0.36552,1.06669,0.62991,1,0.82833,0.58921,0,0,0,0,0.73494,9.70113,0.47519,1.14005,1.08136,0.0003764,0.0003764,0.0003764
84,60.3337,0.50273,7.66281,0.38218,0.42078,1.05405,0.63894,1,0.82833,0.76331,0,0,0,0,0.58068,9.71992,0.4762,0.711,0.96802,0.0003566,0.0003566,0.0003566
85,61.0316,0.38406,8.24466,0.40344,0.34238,0.98348,0.63894,1,0.82833,0.76331,0,0,0,0,0.58068,9.71992,0.4762,0.711,0.96802,0.0003368,0.0003368,0.0003368
86,61.759,0.57948,7.77502,0.38826,0.46823,1.10935,0.96206,1,0.995,0.89712,0,0,0,0,0.65724,10.0482,0.47948,0.5425,1.017,0.000317,0.000317,0.000317
87,62.4649,0.53237,7.17881,0.3722,0.43776,1.03126,0.96206,1,0.995,0.89712,0,0,0,0,0.65724,10.0482,0.47948,0.5425,1.017,0.0002972,0.0002972,0.0002972
88,63.1839,0.49472,8.20756,0.39531,0.36193,1.03763,0.96287,1,0.995,0.80067,0,0,0,0,0.66723,10.0767,0.4784,0.55789,1.01406,0.0002774,0.0002774,0.0002774
89,63.8839,0.42332,7.92742,0.38825,0.37085,1.04909,0.96287,1,0.995,0.80067,0,0,0,0,0.66723,10.0767,0.4784,0.55789,1.01406,0.0002576,0.0002576,0.0002576
90,64.6126,0.34912,7.55517,0.37832,0.33522,0.97261,0.97133,1,0.995,0.84709,0,0,0,0,0.64459,9.9968,0.47666,0.55618,0.99337,0.0002378,0.0002378,0.0002378
91,65.6176,0.46238,7.83325,0.40738,0.80126,1.11325,0.97133,1,0.995,0.84709,0,0,0,0,0.64459,9.9968,0.47666,0.55618,0.99337,0.000218,0.000218,0.000218
92,66.3583,0.5198,8.37052,0.44714,0.64778,1.07172,0.97442,1,0.995,0.8472,0,0,0,0,0.62407,9.86232,0.4754,0.55901,0.96255,0.0001982,0.0001982,0.0001982
93,67.0468,0.55481,8.42624,0.41202,0.88557,1.13359,0.97442,1,0.995,0.8472,0,0,0,0,0.62407,9.86232,0.4754,0.55901,0.96255,0.0001784,0.0001784,0.0001784
94,67.7723,0.4885,7.91912,0.47616,0.72786,1.05405,0.98261,1,0.995,0.94642,0,0,0,0,0.52684,9.59937,0.46592,0.36983,0.84419,0.0001586,0.0001586,0.0001586
95,68.4983,0.41003,7.727,0.39705,0.50203,0.97388,0.98261,1,0.995,0.94642,0,0,0,0,0.52684,9.59937,0.46592,0.36983,0.84419,0.0001388,0.0001388,0.0001388
96,69.2663,0.43558,8.43596,0.46869,0.58722,0.94292,0.98266,1,0.995,0.89768,0,0,0,0,0.48879,9.36165,0.45797,0.38436,0.79425,0.000119,0.000119,0.000119
97,69.9643,0.34235,7.80717,0.42317,0.39894,1.01434,0.98266,1,0.995,0.89768,0,0,0,0,0.48879,9.36165,0.45797,0.38436,0.79425,9.92e-05,9.92e-05,9.92e-05
98,70.6888,0.40397,7.94349,0.41381,0.4003,1.0358,0.98259,1,0.995,0.94634,0,0,0,0,0.49377,9.14141,0.45122,0.3677,0.79696,7.94e-05,7.94e-05,7.94e-05
99,71.3869,0.33667,7.81929,0.44861,0.33954,0.98426,0.98259,1,0.995,0.94634,0,0,0,0,0.49377,9.14141,0.45122,0.3677,0.79696,5.96e-05,5.96e-05,5.96e-05
100,72.1087,0.39552,7.56533,0.36865,0.37975,1.05115,0.98252,1,0.995,0.94616,0,0,0,0,0.49557,8.98653,0.44943,0.36616,0.80759,3.98e-05,3.98e-05,3.98e-05
